User ID,Product Code,Payment Status,Coupon code,Lead Registered Time,Sales Date,Source,Product Amount with GST,Payment Mode,Currency  Code,Transaction Bank
user261,Product8,Initiated,,"Jul 30, 2022 06:29 pm","Jul 30, 2022",Direct,59,,USD,
user262,Product3,Initiated,,"Jul 30, 2022 06:25 pm","Jul 30, 2022",Direct,1999,,INR,
user263,Product3,Initiated,,"Jul 30, 2022 06:21 pm","Jul 30, 2022",Direct,1999,,INR,
user264,Product9,Initiated,,"Jul 30, 2022 06:17 pm","Jul 30, 2022",Direct,999,,INR,
user265,Product4,paid,,"Jul 30, 2022 05:57 pm","Jul 30, 2022",Direct,2022,upi,INR,NA
user246,Product5,Initiated,,"Jul 30, 2022 10:01 pm","Jul 30, 2022",Direct,1999,,INR,
user249,Product18,Initiated,,"Jul 30, 2022 09:45 pm","Jul 30, 2022",Direct,1999,,INR,
user248,Product8,Initiated,,"Jul 30, 2022 09:29 pm","Jul 30, 2022",Direct,1499,,INR,
user267,Product2,Initiated,,"Jul 30, 2022 09:27 pm","Jul 30, 2022",Direct,999,,INR,
user268,Product5,Initiated,,"Jul 30, 2022 09:27 pm","Jul 30, 2022",Direct,1999,,INR,
user269,Product1,Initiated,,"Jul 30, 2022 08:58 pm","Jul 30, 2022",Direct,3999,,INR,
user269,Product1,Initiated,,"Jul 30, 2022 08:57 pm","Jul 30, 2022",Direct,3999,,INR,
user275,Product8,Initiated,,"Jul 30, 2022 07:15 pm","Jul 30, 2022",Influencer,59,,USD,
user276,Product3,Initiated,,"Jul 30, 2022 07:08 pm","Jul 30, 2022",Direct,1999,,INR,
user277,Product12,Initiated,,"Jul 30, 2022 07:07 pm","Jul 30, 2022",Influencer,1499,,INR,
user278,Product3,Initiated,,"Jul 30, 2022 06:55 pm","Jul 30, 2022",Direct,1999,,INR,
user278,Product3,Initiated,,"Jul 30, 2022 06:54 pm","Jul 30, 2022",Direct,1999,,INR,
user278,Product3,Initiated,,"Jul 30, 2022 06:53 pm","Jul 30, 2022",Direct,1999,,INR,
user279,Product20,Initiated,,"Jul 30, 2022 06:53 pm","Jul 30, 2022",Direct,1499,,INR,
user281,Product3,Initiated,,"Jul 30, 2022 06:03 pm","Jul 30, 2022",Direct,1999,,INR,
user283,Product8,Initiated,,"Jul 30, 2022 05:13 pm","Jul 30, 2022",Influencer,1499,,INR,
user285,Product3,Initiated,,"Jul 30, 2022 04:56 pm","Jul 30, 2022",Direct,1999,,INR,
user263,Product3,Initiated,,"Jul 30, 2022 06:22 pm","Jul 30, 2022",Direct,1999,,INR,
user288,Product3,Initiated,,"Jul 30, 2022 05:03 pm","Jul 30, 2022",Direct,1999,,INR,
